None,ticker,date,close
0,MSFT,2018-03-27,89.47
1,MSFT,2018-03-26,93.78
2,MSFT,2018-03-23,87.18
3,MSFT,2018-03-22,89.79
4,MSFT,2018-03-21,92.48
5,MSFT,2018-03-20,93.13
6,MSFT,2018-03-19,92.89
7,MSFT,2018-03-16,94.6
8,MSFT,2018-03-15,94.18
9,MSFT,2018-03-14,93.85
10,MSFT,2018-03-13,94.41
11,MSFT,2018-03-12,96.77
12,MSFT,2018-03-09,96.54
13,MSFT,2018-03-08,94.43
14,MSFT,2018-03-07,93.86
15,MSFT,2018-03-06,93.32
16,MSFT,2018-03-05,93.64
17,MSFT,2018-03-02,93.05
18,MSFT,2018-03-01,92.85
19,MSFT,2018-02-28,93.77
20,MSFT,2018-02-27,94.2
21,MSFT,2018-02-26,95.42
22,MSFT,2018-02-23,94.06
23,MSFT,2018-02-22,91.74
24,MSFT,2018-02-21,91.49
25,MSFT,2018-02-20,92.72
26,MSFT,2018-02-16,92.0
27,MSFT,2018-02-15,92.66
28,MSFT,2018-02-14,90.81
29,MSFT,2018-02-13,89.83
30,MSFT,2018-02-12,89.13
31,MSFT,2018-02-09,88.1
32,MSFT,2018-02-08,84.89
33,MSFT,2018-02-07,89.61
34,MSFT,2018-02-06,91.33
35,MSFT,2018-02-05,89.05
36,MSFT,2018-02-02,91.78
37,MSFT,2018-02-01,94.26
38,MSFT,2018-01-31,95.01
39,MSFT,2018-01-30,92.74
40,MSFT,2018-01-29,93.92
41,MSFT,2018-01-26,94.06
42,MSFT,2018-01-25,92.33
43,MSFT,2018-01-24,91.82
44,MSFT,2018-01-23,91.9
45,MSFT,2018-01-22,91.61
46,MSFT,2018-01-19,90.0
47,MSFT,2018-01-18,90.1
48,MSFT,2018-01-17,90.14
49,MSFT,2018-01-16,88.35
50,MSFT,2018-01-12,89.58
51,MSFT,2018-01-11,88.08
52,MSFT,2018-01-10,87.82
53,MSFT,2018-01-09,88.22
54,MSFT,2018-01-08,88.28
55,MSFT,2018-01-05,88.19
56,MSFT,2018-01-04,87.11
57,MSFT,2018-01-03,86.35
58,MSFT,2018-01-02,85.95
59,GOOG,2018-03-27,1005.1
60,GOOG,2018-03-26,1053.21
61,GOOG,2018-03-23,1021.57
62,GOOG,2018-03-22,1049.08
63,GOOG,2018-03-21,1090.88
64,GOOG,2018-03-20,1097.71
65,GOOG,2018-03-19,1099.82
66,GOOG,2018-03-16,1135.73
67,GOOG,2018-03-15,1149.58
68,GOOG,2018-03-14,1149.49
69,GOOG,2018-03-13,1138.17
70,GOOG,2018-03-12,1164.5
71,GOOG,2018-03-09,1160.04
72,GOOG,2018-03-08,1126.0
73,GOOG,2018-03-07,1109.64
74,GOOG,2018-03-06,1095.06
75,GOOG,2018-03-05,1090.93
76,GOOG,2018-03-02,1078.92
77,GOOG,2018-03-01,1069.52
78,GOOG,2018-02-28,1104.73
79,GOOG,2018-02-27,1118.29
80,GOOG,2018-02-26,1143.75
81,GOOG,2018-02-23,1126.79
82,GOOG,2018-02-22,1106.63
83,GOOG,2018-02-21,1111.34
84,GOOG,2018-02-20,1102.46
85,GOOG,2018-02-16,1094.8
86,GOOG,2018-02-15,1089.52
87,GOOG,2018-02-14,1069.7
88,GOOG,2018-02-13,1052.1
89,GOOG,2018-02-12,1051.94
90,GOOG,2018-02-09,1035.88
91,GOOG,2018-02-08,1001.0
92,GOOG,2018-02-07,1048.58
93,GOOG,2018-02-06,1080.6
94,GOOG,2018-02-05,1064.35
95,GOOG,2018-02-02,1111.9
96,GOOG,2018-02-01,1167.7
97,GOOG,2018-01-31,1169.94
98,GOOG,2018-01-30,1163.69
99,GOOG,2018-01-29,1175.58
100,GOOG,2018-01-26,1175.84
101,GOOG,2018-01-25,1170.37
102,GOOG,2018-01-24,1164.24
103,GOOG,2018-01-23,1169.97
104,GOOG,2018-01-22,1155.81
105,GOOG,2018-01-19,1137.51
106,GOOG,2018-01-18,1129.79
107,GOOG,2018-01-17,1131.98
108,GOOG,2018-01-16,1121.76
109,GOOG,2018-01-12,1122.26
110,GOOG,2018-01-11,1105.52
111,GOOG,2018-01-10,1102.61
